passage_event,direction,lateral_crossing_offset_m
P0995,B,63.612394
P0996,A,-181.572420
P0997,B,39.891180
P0998,A,-244.397553
P0999,A,-145.248373
P1000,B,102.160339
P1001,A,-90.392580
P1002,B,252.087794
P1003,A,-128.198855
P1004,B,266.543135
P1005,A,-158.035789
P1006,B,5.235057
P1007,B,329.368268
P1008,A,-100.214428
P1009,B,474.293064
P1010,A,-37.945269
P1011,B,493.566481
P1012,B,186.854179
P1013,A,-254.033706
P1014,A,-264.412640
P1015,B,252.087794
P1016,B,-35.907066
P1017,A,-183.610623
P1018,A,-202.143481
P1019,B,131.441299
P1020,A,-145.062677
P1021,A,-29.419954
P1022,B,86.593049
P1023,A,-119.303261
P1024,B,34.517129
P1025,A,-109.665996
P1026,B,144.044132
P1027,B,0.787260
P1028,A,-220.304948
P1029,B,288.967816
P1030,B,136.074791
P1031,B,188.892382
P1032,A,405.166514
P1033,B,547.681716
